Cases,Area,Year,Sex
72,South-East,2014,Both sexes
58,South-East,2014,Male
14,South-East,2014,Female
59,South-East,2015,Both sexes
45,South-East,2015,Male
14,South-East,2015,Female
59,South-East,2016,Both sexes
53,South-East,2016,Male
6,South-East,2016,Female
53,South-East,2017,Both sexes
45,South-East,2017,Male
8,South-East,2017,Female
54,South-East,2018,Both sexes
40,South-East,2018,Male
14,South-East,2018,Female
46,South-East,2019,Both sexes
35,South-East,2019,Male
11,South-East,2019,Female
70,South-West,2013,Both sexes
60,South-West,2013,Male
10,South-West,2013,Female
83,South-West,2014,Both sexes
65,South-West,2014,Male
18,South-West,2014,Female
76,South-West,2015,Both sexes
62,South-West,2015,Male
14,South-West,2015,Female
91,South-West,2016,Both sexes
69,South-West,2016,Male
22,South-West,2016,Female
62,South-West,2017,Both sexes
42,South-West,2017,Male
20,South-West,2017,Female
81,South-West,2018,Both sexes
66,South-West,2018,Male
15,South-West,2018,Female
81,South-West,2019,Both sexes
66,South-West,2019,Male
15,South-West,2019,Female
